nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm1588970	Carmencita	1868	1910	soundtrack	tt0000001,tt0057728
nm0000175	Stephen King	1947	\N	writer,producer,actor	tt0091499,tt0083767,tt0120689,tt0111161
nm0000297	Tom Berenger	1949	\N	actor,producer,writer	tt1375666,tt0085244,tt0097815,tt0091763
nm0000307	Helena Bonham Carter	1966	\N	actress,soundtrack,producer	tt1707386,tt0408236,tt0137523,tt1504320
nm0000609	Ving Rhames	1959	\N	actor,producer,writer	tt3896198,tt0163988,tt0120755,tt0110912
nm0000641	Gary Sinise	1955	\N	actor,producer,director	tt0117438,tt0112384,tt0109830,tt0105046
nm0746273	Charles Roven	1949	\N	producer,executive,actor	tt0468569,tt1800241,tt0114746,tt0451279
nm0000288	Christian Bale	1974	\N	actor,editorial_department,producer	tt0144084,tt1800241,tt0372784,tt0468569
nm0005132	Heath Ledger	1979	2008	actor,director,soundtrack	tt0468569,tt0388795,tt0183790,tt0147800
nm0001173	Aaron Eckhart	1968	\N	actor,producer,soundtrack	tt0298814,tt0427944,tt0119361,tt0468569
nm0000323	Michael Caine	1933	\N	actor,producer,soundtrack	tt0482571,tt0124315,tt0468569,tt0258068
nm0634240	Christopher Nolan	1970	\N	writer,producer,director	tt1375666,tt0482571,tt5013056,tt0816692
nm0634300	Jonathan Nolan	1976	\N	writer,producer,director	tt0482571,tt0816692,tt0475784,tt0468569
nm0333060	David S. Goyer	1965	\N	writer,producer,director	tt0468569,tt0372784,tt2975590,tt0118929
nm0004170	Bob Kane	1915	1998	writer,miscellaneous,art_department	tt0468569,tt0103776,tt0372784,tt0096895
nm0650038	Lorne Orleans	\N	\N	producer,production_manager,miscellaneous	tt0434409,tt0418279,tt0409182,tt0409459
nm0290358	Richard Francis-Bruce	1948	\N	editor,editorial_department,sound_department	tt0114369,tt0117500,tt0118571,tt0097162
nm0000209	Tim Robbins	1958	\N	actor,producer,director	tt0094812,tt0105151,tt0112818,tt0327056
nm0000151	Morgan Freeman	1937	\N	actor,producer,soundtrack	tt1057500,tt0097239,tt0114369,tt0405159
nm0348409	Bob Gunton	1945	\N	actor,soundtrack	tt0111161,tt3322312,tt3305388,tt0285331
nm0006669	William Sadler	1950	\N	actor,soundtrack,director	tt0111161,tt0099423,tt0101452,tt0884328
nm0001104	Frank Darabont	1959	\N	writer,producer,director	tt0884328,tt0111161,tt1520211,tt0120689
nm0000175	Stephen King	1947	\N	writer,producer,actor	tt0091499,tt0083767,tt0120689,tt0111161
nm0002353	Thomas Newman	1955	\N	music_department,composer,soundtrack	tt1454029,tt1074638,tt0910970,tt0169547
nm0000138	Leonardo DiCaprio	1974	\N	actor,producer,writer	tt0993846,tt0407887,tt0120338,tt1375666
nm0330687	Joseph Gordon-Levitt	1981	\N	actor,producer,soundtrack	tt2229499,tt1306980,tt1276104,tt1375666
nm0680983	Ellen Page	1987	\N	actress,producer,soundtrack	tt1877832,tt1375666,tt0467406,tt0424136
nm0913822	Ken Watanabe	1959	\N	actor,producer,director	tt0325710,tt3741700,tt1375666,tt0831387
nm0634240	Christopher Nolan	1970	\N	writer,producer,director	tt1375666,tt0482571,tt5013056,tt0816692
nm10874209	Carina Velva	\N	\N	actress	tt7941914,tt6723592,tt5892412
