titleId	ordering	title	region	language	types	attributes	isOriginalTitle
tt12286422	1	Rastlanti	\N	\N	original	\N	1
tt12286422	2	Rastlanti	FR	\N	imdbDisplay	\N	0
tt12286422	3	Rastlanti	TR	\N	\N	\N	0
tt2301451	1	Ozymandias	\N	\N	original	\N	1
tt2301451	2	Ozymandias	US	\N	imdbDisplay	\N	0
tt12406160	1	The Last Regret	US	\N	\N	\N	0
tt12728950	1	The Wake-Up Call with Pritan Ambroase	US	\N	\N	\N	0
tt10478526	1	Huldra and Photographer	NO	\N	\N	\N	0
tt12757372	1	Red	\N	\N	original	\N	1
tt12757372	2	Red	GB	\N	imdbDisplay	\N	0
tt12757372	3	Red	FR	\N	imdbDisplay	\N	0
tt12757372	4	Red	US	\N	imdbDisplay	\N	0
tt11028174	1	The View from Halfway Down	US	\N	\N	\N	0
tt11207734	1	Londra Merkez	TR	\N	\N	\N	0
